
2023/05/09 (15:45:25) | ===> btop++ v.1.2.13
2023/05/09 (15:45:25) | INFO: Logger set to INFO
2023/05/09 (15:45:25) | INFO: Running on /dev/pts/2
2023/05/09 (15:45:51) | INFO: Quitting! Runtime: 00:00:26

2023/05/09 (15:45:52) | ===> btop++ v.1.2.13
2023/05/09 (15:45:52) | INFO: Logger set to INFO
2023/05/09 (15:45:52) | INFO: Running on /dev/pts/2
2023/05/09 (15:47:40) | INFO: Quitting! Runtime: 00:01:48

2023/05/09 (15:47:41) | ===> btop++ v.1.2.13
2023/05/09 (15:47:41) | INFO: Logger set to INFO
2023/05/09 (15:47:41) | INFO: Running on /dev/pts/2
2023/05/09 (15:47:49) | INFO: Quitting! Runtime: 00:00:08

2023/05/09 (15:47:49) | ===> btop++ v.1.2.13
2023/05/09 (15:47:49) | INFO: Logger set to INFO
2023/05/09 (15:47:49) | INFO: Running on /dev/pts/2
2023/05/09 (15:48:09) | INFO: Quitting! Runtime: 00:00:20

2023/05/09 (15:48:10) | ===> btop++ v.1.2.13
2023/05/09 (15:48:10) | INFO: Logger set to INFO
2023/05/09 (15:48:10) | INFO: Running on /dev/pts/2
2023/05/09 (15:48:10) | ERROR: Invalid size of hex value: 282a36aa
2023/05/09 (15:48:16) | INFO: Quitting! Runtime: 00:00:06

2023/05/09 (15:48:17) | ===> btop++ v.1.2.13
2023/05/09 (15:48:17) | INFO: Logger set to INFO
2023/05/09 (15:48:17) | INFO: Running on /dev/pts/2
2023/05/09 (15:48:31) | INFO: Quitting! Runtime: 00:00:14

2023/05/09 (15:48:31) | ===> btop++ v.1.2.13
2023/05/09 (15:48:31) | INFO: Logger set to INFO
2023/05/09 (15:48:31) | INFO: Running on /dev/pts/2
2023/05/09 (15:49:02) | INFO: Quitting! Runtime: 00:00:31

2023/05/09 (15:49:02) | ===> btop++ v.1.2.13
2023/05/09 (15:49:02) | INFO: Logger set to INFO
2023/05/09 (15:49:02) | INFO: Running on /dev/pts/2
2023/05/09 (15:50:47) | INFO: Quitting! Runtime: 00:01:45

2023/05/09 (15:50:48) | ===> btop++ v.1.2.13
2023/05/09 (15:50:48) | INFO: Logger set to INFO
2023/05/09 (15:50:48) | INFO: Running on /dev/pts/2
2023/05/09 (15:51:26) | INFO: Quitting! Runtime: 00:00:38

2023/05/09 (15:51:26) | ===> btop++ v.1.2.13
2023/05/09 (15:51:26) | INFO: Logger set to INFO
2023/05/09 (15:51:26) | INFO: Running on /dev/pts/2
2023/05/09 (15:52:43) | INFO: Quitting! Runtime: 00:01:17

2023/05/09 (15:52:43) | ===> btop++ v.1.2.13
2023/05/09 (15:52:43) | INFO: Logger set to INFO
2023/05/09 (15:52:43) | INFO: Running on /dev/pts/2
2023/05/09 (15:52:58) | INFO: Quitting! Runtime: 00:00:15

2023/05/09 (15:52:59) | ===> btop++ v.1.2.13
2023/05/09 (15:52:59) | INFO: Logger set to INFO
2023/05/09 (15:52:59) | INFO: Running on /dev/pts/2
2023/05/09 (15:53:44) | INFO: Quitting! Runtime: 00:00:45

2023/05/09 (15:53:44) | ===> btop++ v.1.2.13
2023/05/09 (15:53:44) | INFO: Logger set to INFO
2023/05/09 (15:53:44) | INFO: Running on /dev/pts/2
2023/05/09 (15:54:11) | INFO: Quitting! Runtime: 00:00:27

2023/05/09 (15:54:14) | ===> btop++ v.1.2.13
2023/05/09 (15:54:14) | INFO: Logger set to INFO
2023/05/09 (15:54:14) | INFO: Running on /dev/pts/2
2023/05/09 (15:54:46) | INFO: Quitting! Runtime: 00:00:32

2023/05/09 (15:54:47) | ===> btop++ v.1.2.13
2023/05/09 (15:54:47) | INFO: Logger set to INFO
2023/05/09 (15:54:47) | INFO: Running on /dev/pts/2
2023/05/09 (15:56:31) | INFO: Quitting! Runtime: 00:01:44

2023/05/09 (15:56:32) | ===> btop++ v.1.2.13
2023/05/09 (15:56:32) | INFO: Logger set to INFO
2023/05/09 (15:56:32) | INFO: Running on /dev/pts/2
2023/05/09 (16:00:53) | INFO: Quitting! Runtime: 00:04:21

2023/05/09 (16:00:54) | ===> btop++ v.1.2.13
2023/05/09 (16:00:54) | INFO: Logger set to INFO
2023/05/09 (16:00:54) | INFO: Running on /dev/pts/2
2023/05/09 (16:02:18) | INFO: Quitting! Runtime: 00:01:24

2023/05/09 (16:02:18) | ===> btop++ v.1.2.13
2023/05/09 (16:02:18) | INFO: Logger set to INFO
2023/05/09 (16:02:18) | INFO: Running on /dev/pts/2
2023/05/09 (16:03:07) | INFO: Quitting! Runtime: 00:00:49

2023/05/09 (16:03:07) | ===> btop++ v.1.2.13
2023/05/09 (16:03:07) | INFO: Logger set to INFO
2023/05/09 (16:03:07) | INFO: Running on /dev/pts/2
2023/05/09 (16:03:59) | INFO: Quitting! Runtime: 00:00:52

2023/05/09 (16:04:00) | ===> btop++ v.1.2.13
2023/05/09 (16:04:00) | INFO: Logger set to INFO
2023/05/09 (16:04:00) | INFO: Running on /dev/pts/2
2023/05/09 (16:05:07) | INFO: Quitting! Runtime: 00:01:07

2023/05/09 (16:05:08) | ===> btop++ v.1.2.13
2023/05/09 (16:05:08) | INFO: Logger set to INFO
2023/05/09 (16:05:08) | INFO: Running on /dev/pts/2
2023/05/09 (16:05:44) | INFO: Quitting! Runtime: 00:00:36

2023/05/09 (16:05:45) | ===> btop++ v.1.2.13
2023/05/09 (16:05:45) | INFO: Logger set to INFO
2023/05/09 (16:05:45) | INFO: Running on /dev/pts/2
2023/05/09 (16:06:13) | INFO: Quitting! Runtime: 00:00:28

2023/05/09 (16:06:14) | ===> btop++ v.1.2.13
2023/05/09 (16:06:14) | INFO: Logger set to INFO
2023/05/09 (16:06:14) | INFO: Running on /dev/pts/2
2023/05/09 (16:07:48) | INFO: Quitting! Runtime: 00:01:34

2023/05/09 (16:07:48) | ===> btop++ v.1.2.13
2023/05/09 (16:07:48) | INFO: Logger set to INFO
2023/05/09 (16:07:48) | INFO: Running on /dev/pts/2
2023/05/09 (16:07:48) | ERROR: Invalid size of hex value: 8bd93f9
2023/05/09 (16:07:48) | ERROR: Invalid size of hex value: 8bd93f9
2023/05/09 (16:07:48) | ERROR: Invalid size of hex value: 8bd93f9
2023/05/09 (16:07:48) | ERROR: Invalid size of hex value: 8bd93f9
2023/05/09 (16:08:50) | INFO: Quitting! Runtime: 00:01:02

2023/05/09 (16:08:51) | ===> btop++ v.1.2.13
2023/05/09 (16:08:51) | INFO: Logger set to INFO
2023/05/09 (16:08:51) | INFO: Running on /dev/pts/2
2023/05/09 (16:09:20) | INFO: Quitting! Runtime: 00:00:29

2023/05/09 (16:09:21) | ===> btop++ v.1.2.13
2023/05/09 (16:09:21) | INFO: Logger set to INFO
2023/05/09 (16:09:21) | INFO: Running on /dev/pts/2
2023/05/09 (16:10:49) | INFO: Quitting! Runtime: 00:01:28

2023/05/09 (16:10:50) | ===> btop++ v.1.2.13
2023/05/09 (16:10:50) | INFO: Logger set to INFO
2023/05/09 (16:10:50) | INFO: Running on /dev/pts/2
